id;TARGA;GENERE MERCEOLOGICO;ANNO_ISTITUZIONE;INDIRIZZO;CIVICO;MUNICIPIO;ID_NIL;NIL;LONG_X_4326;LAT_Y_4326;Location
104;G. Preattoni;Coltelleria;1934;Via Privata C. Battisti;1;1;4;GUASTALLA;9.199925489000066;45.46271388900004;(45.46271388900004, 9.199925489000066)
105;G. Preattoni;Coltelleria;1946;Via della Spiga;52;1;1;DUOMO;9.195106500000065;45.47169900000006;(45.47169900000006, 9.195106500000065)
106;Galleria Bolzani;Galleria d'arte;1922;C.so Matteotti;20;1;1;DUOMO;9.196569000000068;45.46678500000007;(45.46678500000007, 9.196569000000068)
107;Galli Giovanni;Pasticceria;1911;Corso di Porta Romana;2;1;1;DUOMO;9.188703000000032;45.46019700000005;(45.46019700000005, 9.188703000000032)
108;Galli Giovanni;Pasticceria;1911;Via V. Hugo;2;1;1;DUOMO;9.187339500000064;45.46402200000006;(45.46402200000006, 9.187339500000064)
109;Gallia e Peter;Modisteria;1932;Via Moscova;60;1;2;BRERA;9.18342000000007;45.478125000000034;(45.478125000000034, 9.18342000000007)
110;Garage San Remo;Garage;1949;Via Zecca Vecchia;3;1;1;DUOMO;9.184491000000037;45.46223100000003;(45.46223100000003, 9.184491000000037)
111;Garbagnati;Pasticceria;1937;Via Victor Hugo;3;1;1;DUOMO;9.187254000000053;45.46377000000007;(45.46377000000007, 9.187254000000053)
112;Garue;Articoli per la pesca;1885;Via del Torchio;14;1;1;DUOMO;9.18021600000003;45.46074600000003;(45.46074600000003, 9.18021600000003)
113;Gianni barbiere;Barbiere, parrucchiere per uomo;1960;Via Tivoli;8;1;2;BRERA;9.183294000000046;45.47205900000006;(45.47205900000006, 9.183294000000046)
114;Gianni Italia;Abbigliamento;1965;Via Paolo Sarpi;53;1;69;SARPI;9.172755000000052;45.48107700000003;(45.48107700000003, 9.172755000000052)
115;Gin Rosa;Bar;1931;Galleria San Babila;4/B;1;1;DUOMO;9.198558000000048;45.466263000000026;(45.466263000000026, 9.198558000000048)
116;Gioelleria Cielo;Gioielleria, oreficeria;1922;P.zza Duomo;21;1;1;DUOMO;9.189585000000022;45.464841000000035;(45.464841000000035, 9.189585000000022)
117;Gioelleria Cielo;Gioielleria, oreficeria;1922;P.le Cadorna;11;1;7;MAGENTA - S. VITTORE;9.176134500000046;45.46774800000003;(45.46774800000003, 9.176134500000046)
